,ekstra.Poprzedni.klub,c.rep.....555..
1,FK Sarajevo,bośniacka
2,Rakow Czestochowa II,polska
3,Jagiellonia Bialystok,polska
4,Rakow Czestochowa II,polska
5,AEK Athens,grecka
6,Jagiellonia Bialystok,polska
7,SC Paderborn 07,niemiecka
8,FC Botosani,rumuńska
9,FK Viktoria Zizkov,czeska
10,Podbeskidzie Bielsko-Biala,polska
11,Znicz Pruszkow,polska
12,Panionios Athens,grecka
13,Hakoah Amidar Ramat Gan,izraelska
14,BK Häcken,szwedzka
15,Warta Poznan,polska
16,Legia Warszawa,polska
17,Without Club,bez klubu
18,FC Dinamo 1948,rumuńska
19,Korona Kielce,polska
20,Rozwój Katowice,polska
21,Pogon Szczecin,polska
22,Levante UD,hiszpańska
23,Górnik Zabrze,polska
24,Zorya Lugansk,ukraińska
25,Cracovia,polska
26,Korona Kielce,polska
27,Bruk-Bet Termalica Nieciecza,polska
28,Slask Wroclaw,polska
29,ROW 1964 Rybnik,polska
30,SC Heerenveen,holenderska
31,AC Sparta Prague,czeska
32,Metalist Kharkiv,ukraińska
33,Lech Poznan U19,polska
34,FK Khimki,rosyjska
35,RSC Anderlecht,belgijska
36,DAC Dunajska Streda,słowacka
37,SPAL,włoska
38,EA Guingamp,francuska
39,Leeds United,angielska
40,Omonia Nicosia,cypryjska
41,Rangers FC,szkocka
42,Zaglebie Lubin,polska
43,Djurgårdens IF,szwedzka
44,Tobol Kostanay,kazachska
45,Lech Poznan II,polska
46,Denizlispor,turecka
47,B SAD,portugalska
48,SL Benfica,portugalska
49,Lech Poznan U19,polska
50,Lech Poznan II,polska
51,FK Haugesund,norweska
52,Lech Poznan II,polska
53,Lech Poznan II,polska
54,Dynamo Kyiv,ukraińska
55,FC Viktoria Plzen,czeska
56,1.FC Nuremberg,niemiecka
57,Lech Poznan U19,polska
58,Fatih Karagümrük,turecka
59,Lech Poznan II,polska
60,Legia Warsaw II,polska
61,Legia Warsaw II,polska
62,Zaglebie Lubin,polska
63,Legia Warsaw II,polska
64,SV Werder Bremen,niemiecka
65,Ural Yekaterinburg,rosyjska
66,Aris Thessaloniki,grecka
67,FK Krasnodar,rosyjska
68,Zaglebie Lubin,polska
69,Ferencvárosi TC,węgierska
70,Piast Gliwice,polska
71,KF Tirana,albańska
72,Legia Warsaw II,polska
73,1.FC Union Berlin,niemiecka
74,Genclerbirligi Ankara,turecka
75,Legia Warsaw II,polska
76,Lechia Gdansk,polska
77,Nottingham Forest,angielska
78,Leicester City,angielska
79,Hapoel Beer Sheva,izraelska
80,Göztepe,turecka
81,Slask Wroclaw,polska
82,Legia Warsaw II,polska
83,KF Tirana,albańska
84,Panathinaikos Athens,grecka
85,Legia Warsaw U19,polska
86,FC Zürich,niemiecka
87,CSKA-Sofia,bułgarska
88,Pogon Siedlce ,polska
89,Siarka Tarnobrzeg,polska
90,Asteras Tripolis,grecka
91,Podbeskidzie Bielsko-Biala,polska
92,SCR Altach,austriacka
93,Garbarnia Krakow,polska
94,FC Porto B,portugalska
95,Olympiacos Piraeus,grecka
96,Sport Club Internacional,brazylijska
97,IFK Norrköping,szwedzka
98,Legia Warszawa,polska
99,Pogon Szczecin II,polska
100,Cracovia,polska
101,Pogon Szczecin II,polska
102,Pogon Szczecin II,polska
103,Zawisza Bydgoszcz,polska
104,Pogon Szczecin II,polska
105,Pogon Szczecin II,polska
106,Pogon Szczecin II,polska
107,MSK Zilina,słowacka
108,Pogon Szczecin II,polska
109,West Bromwich Albion,angielska
110,Polonia Bytom,polska
111,Without Club,bez klubu
112,Pogon Szczecin U19,polska
113,Ural Yekaterinburg,rosyjska
114,HNK Rijeka,chorwacka
115,FK Rostov,rosyjska
116,NK Maribor,słoweńska
117,Legia Warszawa,polska
118,Puszcza Niepolomice,polska
119,Zaglebie Sosnowiec,polska
120,Motor Lublin,polska
121,Cracovia II,polska
122,FCV Farul Constanta,rumuńska
123,SK Slavia Prague,czeska
124,Levski Sofia,bułgarska
125,Cracovia II,polska
126,Cracovia U19,polska
127,Lyngby BK,holenderska
128,Zemplin Michalovce,słowacka
129,ACSM Politehnica Iasi,rumuńska
130,Puszcza Niepolomice,polska
131,Stal Rzeszow,polska
132,Cracovia II,polska
133,Cracovia II,polska
134,CD Tenerife,hiszpańska
135,Pogon Szczecin,polska
136,Cracovia II,polska
137,Cracovia II,polska
138,US Salernitana 1919,włoska
139,Zemplin Michalovce,słowacka
140,Cracovia U19,polska
141,Cracovia U19,polska
142,Cracovia U19,polska
143,Shakhtar Donetsk,ukraińska
144,Cracovia U19,polska
145,Cracovia II,polska
146,FC Inter Turku,turecka
147,Miedz Legnica,polska
148,ViOn Zlate Moravce-Vrable,słowacka
149,Cracovia U19,polska
150,Sandecja Nowy Sacz,polska
151,Wisla Plock II,polska
152,Júbilo Iwata,japońska
153,,bez klubu
154,,bez klubu
155,Wisla Plock U19,polska
156,AS Trencin,słowacka
157,Neftchi Baku,azerska
158,SKF Sered,słowacka
159,Pordenone Calcio,włoska
160,Qarabağ FK,azerska
161,UKS SMS Lodz U19,polska
162,Lech Poznan,polska
163,Wisla Plock II,polska
164,Aalborg BK,holenderska
165,Ruch Chorzow,polska
166,Miedz Legnica,polska
167,Genclerbirligi Ankara,turecka
168,MSK Zilina,słowacka
169,Rosenborg BK,norweska
170,Lechia Gdansk,polska
171,Legia Warszawa,polska
172,Legia Warsaw II,polska
173,Legia Warsaw II,polska
174,Wisla Plock II,polska
175,UD Ibiza,hiszpańska
176,Wisla Plock II,polska
177,MSK Zilina,słowacka
178,GKS Belchatow,polska
179,Without Club,bez klubu
180,FC Emmen,holenderska
181,BFC Dynamo,niemiecka
182,LKS Lodz,polska
183,Wisla Plock II,polska
184,,bez klubu
185,FK Senica,słowacka
186,Lech Poznan,polska
187,Piast Gliwice II,polska
188,Legia Warszawa,polska
189,DAC Dunajska Streda,słowacka
190,Legia Warszawa,polska
191,SV Ried,austriacka
192,Real Murcia CF,hiszpańska
193,Piast Gliwice II,polska
194,AS Saint-Étienne,francuska
195,MSK Zilina,słowacka
196,GKS Katowice,polska
197,Piast Gliwice II,polska
198,SS Lazio,włoska
199,Without Club,bez klubu
200,Stal Mielec,polska
201,Without Club,bez klubu
202,Radomiak Radom,polska
203,Piast Gliwice II,polska
204,Piast Gliwice II,polska
205,MFK Ruzomberok,słowacka
206,Stadion Slaski Chorzow,polska
207,Widzew Lodz,polska
208,SD Eibar,hiszpańska
209,Znicz Pruszkow,polska
210,Sivasspor,turecka
211,FC Copenhagen,holenderska
212,FC Flora Tallinn,estońska
213,Real Murcia CF,hiszpańska
214,AP Profi,polska
215,Hull City,angielska
216,Wisla Kraków,polska
217,Lechia Gdansk U19,polska
218,Ferencvárosi TC,węgierska
219,FK Liepaja,łotewska
220,IFK Norrköping,szwedzka
221,Legia Warszawa,polska
222,SpVgg Greuther Fürth,niemiecka
223,Figueirense Futebol Clube,brazylijska
224,Royal Excel Mouscron (-2022),belgijska
225,Pogon Szczecin,polska
226,TSV Hartberg,austriacka
227,Lechia Gdansk II,polska
228,Lechia Gdansk II,polska
229,GKS Tychy,polska
230,Slovan Bratislava,słowacka
231,Zaglebie Lubin,polska
232,Lechia Gdansk U19,polska
233,Lech Poznan,polska
234,SC Paderborn 07,niemiecka
235,St. Mirren FC,szkocka
236,Chrobry Glogow,polska
237,Without Club,bez klubu
238,HNK Gorica,chorwacka
239,Lechia Gdansk II,polska
240,Yeelen Olympique,malijska
241,Slask Wroclaw,polska
242,Lechia Gdansk II,polska
243,FK Senica,słowacka
244,Wisla Plock,polska
245,FK Obolon Kyiv,ukraińska
246,Warta Poznan,polska
247,Stal Mielec,polska
248,Sandefjord Fotball,norweska
249,Wisla Kraków,polska
250,Stal Mielec,polska
251,Widzew Lodz II,polska
252,Sandecja Nowy Sacz,polska
253,MFK Karvina,czeska
254,Piast Gliwice,polska
255,KF Laçi,albańska
256,Widzew Lodz II,polska
257,Widzew Lodz II,polska
258,Miedz Legnica,polska
259,DAC Dunajska Streda,słowacka
260,SC Farense,portugalska
261,NK Osijek,chorwacka
262,Slask Wroclaw,polska
263,Lech Poznan,polska
264,Bruk-Bet Termalica Nieciecza,polska
265,Sandefjord Fotball,norweska
266,Zaglebie Lubin,polska
267,Albacete Balompié,hiszpańska
268,Lechia Gdansk,polska
269,Widzew Lodz II,polska
270,Lechia Gdansk,polska
271,Jagiellonia Bialystok II,polska
272,Polonia Warsaw,polska
273,Jagiellonia Bialystok U19,polska
