"","Gracz","Pozycja","Urodziny","Wiek","Pierwsza narodowość","Druga narodowość","Wzrost","Lepsza noga","Data dołączenia","Poprzedni klub","Data wygaśnięcia kontraktu","Wartość rynkowa","Liga"
"1","Vladan Kovacevic","Goalkeeper","Apr 11, 1998","24","Bosnia-Herzegovina","Serbia",192,"right","Jul 1, 2021","FK Sarajevo","Jun 30, 2026","€5.00m","Ekstraklasa"
"2","Kacper Trelowski","Goalkeeper","Aug 19, 2003","19","Poland",NA,193,"both","Aug 23, 2019","Rakow Czestochowa II","Jun 30, 2025","€700k","Ekstraklasa"
"3","Xavier Dziekonski","Goalkeeper","Oct 6, 2003","19","Poland",NA,188,"right","Jul 12, 2022","Jagiellonia Bialystok","Jun 30, 2025","€450k","Ekstraklasa"
"4","Jakub Rajczykowski","Goalkeeper","Feb 4, 2005","17","Poland",NA,NA," ","Jul 21, 2022","Rakow Czestochowa II","Jun 30, 2025","€25k","Ekstraklasa"
"5","Stratos Svarnas","Centre-Back","Nov 11, 1997","25","Greece",NA,186,"right","Jul 1, 2022","AEK Athens","Jun 30, 2023","€2.00m","Ekstraklasa"
"6","Zoran Arsenic","Centre-Back","Jun 2, 1994","28","Croatia",NA,188,"right","Jul 1, 2021","Jagiellonia Bialystok","Jun 30, 2026","€1.50m","Ekstraklasa"
"7","Adrian Gryszkiewicz","Centre-Back","Dec 13, 1999","23","Poland",NA,185,"left","Jan 10, 2023","SC Paderborn 07","-","€600k","Ekstraklasa"
"8","Bogdan Racovitan","Centre-Back","Jun 6, 2000","22","Romania","France",187," ","Jan 27, 2022","FC Botosani","Jun 30, 2025","€600k","Ekstraklasa"
"9","Tomas Petrasek","Centre-Back","Mar 2, 1992","30","Czech Republic",NA,199,"right","Jul 1, 2016","FK Viktoria Zizkov","Jun 30, 2023","€500k","Ekstraklasa"
"10","Milan Rundic","Centre-Back","Mar 29, 1992","30","Serbia",NA,188,"left","Jul 1, 2021","Podbeskidzie Bielsko-Biala","Jun 30, 2023","€400k","Ekstraklasa"
"11","Andrzej Niewulis","Centre-Back","Apr 21, 1989","33","Poland",NA,187,"right","Jul 1, 2017","Znicz Pruszkow","Jun 30, 2024","€150k","Ekstraklasa"
"12","Giannis Papanikolaou","Defensive Midfield","Nov 18, 1998","24","Greece",NA,182,"left","Aug 11, 2020","Panionios Athens","Jun 30, 2025","€1.80m","Ekstraklasa"
"13","Ben Lederman","Central Midfield","May 8, 2000","22","Poland","Israel",178,"left","Feb 25, 2020","Hakoah Amidar Ramat Gan","Jun 30, 2024","€1.00m","Ekstraklasa"
"14","Gustav Berggren","Central Midfield","Sep 7, 1997","25","Sweden",NA,187,"right","Jul 29, 2022","BK Häcken","Jun 30, 2025","€700k","Ekstraklasa"
"15","Szymon Czyz","Central Midfield","Jul 8, 2001","21","Poland",NA,176,"right","Jan 10, 2022","Warta Poznan","Jun 30, 2025","€500k","Ekstraklasa"
"16","Valeriane Gvilia","Central Midfield","May 24, 1994","28","Georgia","Ukraine",182,"right","Aug 31, 2021","Legia Warszawa","Jun 30, 2023","€400k","Ekstraklasa"
"17","Fran Tudor","Right Midfield","Sep 27, 1995","27","Croatia",NA,173,"right","Jan 1, 2020","Without Club","Jun 30, 2027","€2.50m","Ekstraklasa"
"18","Deian Sorescu","Right Midfield","Aug 29, 1997","25","Romania",NA,175,"right","Jan 21, 2022","FC Dinamo 1948","Jun 30, 2025","€1.50m","Ekstraklasa"
"19","Wiktor Dlugosz","Right Midfield","Jul 1, 2000","22","Poland",NA,183,"right","Feb 4, 2021","Korona Kielce","Jun 30, 2025","€400k","Ekstraklasa"
"20","Patryk Kun","Left Midfield","Apr 20, 1995","27","Poland",NA,165,"both","Jul 1, 2018","Rozwój Katowice","Jun 30, 2023","€1.50m","Ekstraklasa"
"21","Jean Carlos Silva","Left Midfield","May 10, 1996","26","Spain","Brazil",185,"right","Jan 1, 2023","Pogon Szczecin","Jun 30, 2026","€500k","Ekstraklasa"
"22","Ivi López","Attacking Midfield","Jun 29, 1994","28","Spain",NA,174,"right","Sep 1, 2020","Levante UD","Jun 30, 2026","€4.00m","Ekstraklasa"
"23","Bartosz Nowak","Attacking Midfield","Aug 25, 1993","29","Poland",NA,180,"right","Aug 3, 2022","Górnik Zabrze","Jun 30, 2025","€2.00m","Ekstraklasa"
"24","Vladyslav Kochergin","Attacking Midfield","Apr 30, 1996","26","Ukraine",NA,178,"right","Mar 26, 2022","Zorya Lugansk","Jun 30, 2025","€1.80m","Ekstraklasa"
"25","Mateusz Wdowiak","Attacking Midfield","Aug 28, 1996","26","Poland",NA,174,"right","Feb 15, 2021","Cracovia","Dec 31, 2024","€1.20m","Ekstraklasa"
"26","Marcin Cebula","Attacking Midfield","Dec 6, 1995","27","Poland",NA,177,"both","Aug 1, 2020","Korona Kielce","Jun 30, 2023","€500k","Ekstraklasa"
"27","Vladislavs Gutkovskis","Centre-Forward","Apr 2, 1995","27","Latvia",NA,187," ","Jul 1, 2020","Bruk-Bet Termalica Nieciecza","Jun 30, 2025","€1.20m","Ekstraklasa"
"28","Fabian Piasecki","Centre-Forward","May 4, 1995","27","Poland",NA,186,"right","Jul 1, 2022","Slask Wroclaw","Jun 30, 2026","€1.20m","Ekstraklasa"
"29","Sebastian Musiolik","Centre-Forward","May 19, 1996","26","Poland",NA,193,"left","Jul 1, 2018","ROW 1964 Rybnik","Jun 30, 2023","€250k","Ekstraklasa"
"30","Filip Bednarek","Goalkeeper","Sep 26, 1992","30","Poland",NA,188,"right","Jul 1, 2020","SC Heerenveen","Jun 30, 2025","€800k","Ekstraklasa"
"31","Dominik Holec","Goalkeeper","Jul 28, 1994","28","Slovakia",NA,191,"right","Jan 3, 2023","AC Sparta Prague","Jun 30, 2023","€500k","Ekstraklasa"
"32","Artur Rudko","Goalkeeper","May 7, 1992","30","Ukraine",NA,190,"right","Jul 2, 2022","Metalist Kharkiv","Jun 30, 2023","€400k","Ekstraklasa"
